StarShower,0
11eyes,6
5-toubun no Hanayome,7
5-toubun no Hanayome ∬,7
86,10
86 Part 2,8
Afro Samurai,6
Akame ga Kill!,10
Amnesia,7
Angel Beats!,10
Another,10
Ao no Exorcist,10
Ao no Exorcist: Kyoto Fujouou-hen,10
Ao no Kanata no Four Rhythm,7
Aoki Hagane no Arpeggio: Ars Nova,7
Asobi Asobase,10
Asobi ni Iku yo!,7
Asobi ni Iku yo!: Asobi ni Oide,6
B-gata H-kei,6
Baccano!,10
Baka to Test to Shoukanjuu,7
Bakemonogatari,10
Basilisk: Kouga Ninpou Chou,10
Bayonetta: Bloody Fate,6
Big Order (TV),5
Birdie Wing: Golf Girls' Story,8
Black Blood Brothers,10
Black Clover,8
Black Lagoon,8
Black Lagoon: The Second Barrage,8
Black★Rock Shooter,7
Black★Rock Shooter (OVA),7
Black★Rock Shooter (TV),7
Blend S,8
Blood+,8
Bloodivores,6
Bocchi the Rock!,8
Boku dake ga Inai Machi,10
Boku no Hero Academia,9
Boku no Hero Academia 2nd Season,9
Boku no Hero Academia 3rd Season,9
Boku no Hero Academia 4th Season,9
Boku no Hero Academia 5th Season,8
Boku no Hero Academia 6th Season,8
Boku wa Tomodachi ga Sukunai,8
Boku wa Tomodachi ga Sukunai Next,8
Boku wa Tomodachi ga Sukunai: Yaminabe wa Bishoujo ga Zannen na Nioi,7
Bokura wa Minna Kawai-sou,8
Bounen no Xamdou,7
Brotherhood: Final Fantasy XV,7
Bubuki Buranki,7
Bungou Stray Dogs,10
Bungou Stray Dogs 2nd Season,10
Bungou Stray Dogs 3rd Season,8
Bungou Stray Dogs: Dead Apple,7
Burn the Witch,8
Canaan,9
Chainsaw Man,8
Charlotte,8
ChäoS;Child,6
ChäoS;HEAd,7
Chime,10
Chobits,8
Choujigen Game Neptune The Animation,6
Citrus,8
Clannad,10
Clannad: After Story,10
Comet Lucifer,6
Cyberpunk: Edgerunners,8
D.Gray-man,10
D.Gray-man Hallow,8
"Dakara Boku wa, H ga Dekinai.",7
Dansai Bunri no Crime Edge,6
Darker than Black: Kuro no Keiyakusha,10
Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,10
Darker than Black: Kuro no Keiyakusha Gaiden,10
Darker than Black: Ryuusei no Gemini,9
Darling in the FranXX,7
Darwin's Game,7
Date A Bullet: Dead or Bullet,7
Date A Bullet: Nightmare or Queen,7
Date A Live,8
Date A Live II,8
Date A Live III,7
Date A Live IV,7
Deadman Wonderland,8
Deatte 5-byou de Battle,7
Devil May Cry,7
Dies Irae,4
Dies Irae: To the Ring Reincarnation,5
Downloader,10
Dr. Stone,7
Dr. Stone: Stone Wars,8
Dragonaut: The Resonance,8
Dumbbell Nan Kilo Moteru?,7
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7
Durarara!!,9
Durarara!!x2 Ketsu,9
Durarara!!x2 Shou,9
Durarara!!x2 Ten,9
El Cazador de la Bruja,8
Elfen Lied,9
Enen no Shouboutai,8
Enen no Shouboutai: Ni no Shou,8
Engage Kiss,7
Ergo Proxy,8
Eromanga-sensei,7
Fairy Tail,10
Fairy Tail (2014),10
Fairy Tail: Final Series,10
Fate/Grand Order: First Order,7
Fate/stay night,8
Fate/Zero,9
Fate/Zero 2nd Season,9
Final Fantasy VII: Advent Children,7
Final Fantasy VII: Advent Children Complete,7
Fumetsu no Anata e,10
Ga-Rei: Zero,8
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",8
Gaikotsu Shotenin Honda-san,7
Gakusen Toshi Asterisk,7
Gakusen Toshi Asterisk 2nd Season,7
Gamers!,6
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",8
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",8
Genei wo Kakeru Taiyou,8
Ghost Hunt,7
Girly Air Force,6
Given,7
Goblin Slayer,9
Goblin Slayer II,7
Goblin Slayer: Goblin's Crown,7
God Eater,7
Gokukoku no Brynhildr,7
Gosick,8
Guilty Crown,9
Hanebado!,7
Harukana Receive,6
Hataraku Maou-sama!,8
Hataraku Maou-sama!!,6
Hidan no Aria,6
Hidan no Aria AA,6
Higashi no Eden,8
Higashi no Eden Movie II: Paradise Lost,8
Hige wo Soru. Soshite Joshikousei wo Hirou.,7
High School DxD,9
High School DxD BorN,9
High School DxD Hero,9
High School DxD New,9
Highschool of the Dead,8
Highschool of the Dead: Drifters of the Dead,6
Higurashi no Naku Koro ni,8
Higurashi no Naku Koro ni Kai,8
Higurashi no Naku Koro ni Kaku: Outbreak,7
Higurashi no Naku Koro ni Kira,7
Higurashi no Naku Koro ni Rei,7
Higurashi no Naku Koro ni Special: Nekogoroshi-hen,7
Hinamatsuri,8
Hundred,7
Ibara no Ou,6
Ichiban Ushiro no Daimaou,7
"Ijiranaide, Nagatoro-san",7
Inferno Cop,6
Inferno Cop: Fact Files,6
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,7
Isekai Yakkyoku,7
Itsuka Tenma no Kuro Usagi,6
Jujutsu Kaisen,9
Jujutsu Kaisen 0 Movie,8
Juushin Enbu: Hero Tales,8
K,8
K-On!,7
K: Return of Kings,8
Kami no Tou,7
Kami nomi zo Shiru Sekai,8
Kami nomi zo Shiru Sekai II,8
Kami nomi zo Shiru Sekai: Megami-hen,8
Kantai Collection: KanColle,6
Kawaii dake ja Nai Shikimori-san,6
Kaze no Stigma,7
Keijo!!!!!!!!,7
Kidou Butouden G Gundam,7
Kill la Kill,8
Kimetsu no Yaiba,10
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8
Kimetsu no Yaiba: Katanakaji no Sato-hen,8
Kimetsu no Yaiba: Mugen Ressha-hen,9
Kimetsu no Yaiba: Yuukaku-hen,9
Kimi no Na wa.,8
Kingsglaive: Final Fantasy XV,7
Kiseijuu: Sei no Kakuritsu,8
Kobayashi-san Chi no Maid Dragon,8
Kobayashi-san Chi no Maid Dragon S,7
Kono Subarashii Sekai ni Shukufuku wo!,8
Kono Subarashii Sekai ni Shukufuku wo! 2,8
Kore wa Zombie desu ka?,7
Kore wa Zombie desu ka? of the Dead,7
"Kore wa Zombie desu ka? of the Dead: Hai, Minotake ni Attemasu",7
Kore wa Zombie desu ka? OVA,7
Koukaku no Regios,10
Kurogane no Linebarrels,8
Kuroshitsuji,10
Kuroshitsuji II,10
Leadale no Daichi nite,7
Log Horizon,8
Log Horizon 2nd Season,8
Lycoris Recoil,9
Mahou Shoujo Tokushusen Asuka,6
Mahouka Koukou no Rettousei,8
Mahoutsukai no Yome,9
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",8
Masamune-kun no Revenge,6
Mashiro no Oto,8
Mashle,9
Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,9
Mayoiga,6
Medaka Box,7
Medaka Box Abnormal,7
Metallic Rouge,7
Mieruko-chan,7
Mini Dragon,7
Mirai Nikki,8
Mnemosyne: Mnemosyne no Musume-tachi,7
Mob Psycho 100,8
Mob Psycho 100 II,9
Mob Psycho 100 III,6
Momo Kyun Sword,5
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,7
Murder Princess,7
Musaigen no Phantom World,6
Mushoku Tensei II: Isekai Ittara Honki Dasu,8
Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz,7
Mushoku Tensei: Isekai Ittara Honki Dasu,9
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,9
Nabari no Ou,7
Needless,9
Needless+: Saint Lily Gakuen no Himitsu,7
Net-juu no Susume,7
Net-juu no Susume Special,7
Netoge no Yome wa Onnanoko ja Nai to Omotta?,8
New Game!,7
New Game!!,7
NieR:Automata Ver1.1a,7
Nisekoi,8
Nisekoi:,8
No Game No Life,9
Noragami,8
Odd Taxi,10
One Punch Man,9
Ookami to Koushinryou,10
Ookami to Koushinryou II,10
Ookami to Koushinryou II: Holo no Short Anime,7
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,8
Ookami-san to Shichinin no Nakama-tachi,7
Ore dake Level Up na Ken,9
"Ore, Twintail ni Narimasu.",6
Ousama Game The Animation,6
Overlord,9
Overlord II,8
Overlord III,8
Overlord IV,8
Persona 3 the Movie 2: Midsummer Knight's Dream,8
Phantom: Requiem for the Phantom,8
Plunderer,8
Popotan,5
Psycho-Pass,9
Psycho-Pass 2,7
Punch Line,6
Qualidea Code,6
Queen's Blade: Gyokuza wo Tsugu Mono,6
Rakudai Kishi no Cavalry,8
Rokka no Yuusha,7
Rosario to Vampire,8
Rosario to Vampire Capu2,8
Saenai Heroine no Sodatekata,7
Saenai Heroine no Sodatekata ♭: Koi to Junjou no Service-kai,7
Sakura-sou no Pet na Kanojo,8
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,10
Samurai Champloo,9
Satsuriku no Tenshi,6
School Days,5
School Rumble,8
School Rumble Ni Gakki,8
School Rumble: Ichi Gakki Hoshuu,8
Seiken no Blacksmith,6
Seireitsukai no Blade Dance,7
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,9
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",8
Sekirei,8
Sekirei: Hajimete no Otsukai,7
Sekirei: Pure Engagement,8
Sekirei: Pure Engagement Episode 0,7
Sengoku Otome: Momoiro Paradox,5
Seto no Hanayome,7
Shadows House,7
Shadows House 2nd Season,8
Shakugan no Shana,8
Shakugan no Shana II (Second),9
Shakugan no Shana III (Final),7
Shigatsu wa Kimi no Uso,10
Shijou Saikyou no Deshi Kenichi,8
Shikabane Hime: Aka,10
Shikabane Hime: Kuro,10
Shingeki no Kyojin,10
Shingeki no Kyojin Season 2,10
Shingeki no Kyojin Season 3,10
Shingeki no Kyojin Season 3 Part 2,10
Shingeki no Kyojin: The Final Season,10
Shingeki no Kyojin: The Final Season Part 2,8
Shingeki! Kyojin Chuugakkou,6
Shinmai Maou no Testament,6
Shinmai Maou no Testament Burst,6
Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou,6
Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou,6
Shirokuma Cafe,9
Shokugeki no Souma,10
Shokugeki no Souma: Gou no Sara,9
Shokugeki no Souma: Ni no Sara,10
Shokugeki no Souma: San no Sara,10
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,9
Shokugeki no Souma: Shin no Sara,9
Shuffle!,7
Shuumatsu no Izetta,8
Sin: Nanatsu no Taizai,5
SoniAni: Super Sonico The Animation,5
Sono Bisque Doll wa Koi wo Suru,10
Sora no Otoshimono,7
Sora no Otoshimono Forte,7
Sora no Otoshimono: Project Pink,7
Sora no Otoshimono: Tokeijikake no Angeloid,6
Soul Eater,9
Sousei no Onmyouji,8
Sousou no Frieren,9
Spy x Family,10
SPY×FAMILY Part 2,8
SSSS.Gridman,7
Steins;Gate,10
Steins;Gate 0,8
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,9
Steins;Gate: Oukoubakko no Poriomania,9
Strike the Blood,7
Subete ga F ni Naru,7
Suzume no Tojimari,9
Sword Art Online,8
Sword Art Online II,7
Sword Art Online II: Debriefing,6
Sword Art Online: Extra Edition,6
Taboo Tattoo,5
Takt Op. Destiny,8
Tari Tari,7
Tate no Yuusha no Nariagari,9
Tate no Yuusha no Nariagari Season 2,6
Tengen Toppa Gurren Lagann,9
Tenki no Ko,9
Tensei shitara Slime Datta Ken,10
Tensei shitara Slime Datta Ken 2nd Season,10
Tensei shitara Slime Datta Ken 2nd Season Part 2,8
Tetsuwan Birdy Decode,9
Tetsuwan Birdy Decode:02,9
The Everlasting Guilty Crown,10
The God of High School,7
To LOVE-Ru,7
Tong Ling Fei,10
Toradora!,8
Trinity Blood,7
Trinity Seven,7
Trinity Seven Movie 1: Eternity Library to Alchemic Girl,7
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,6
Ulysses: Jehanne Darc to Renkin no Kishi,5
Uma Musume: Pretty Derby,7
Uma Musume: Pretty Derby Season 2,8
Uma Musume: Pretty Derby Season 3,8
Vivy: Fluorite Eye's Song,9
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,7
Witchblade,8
World Destruction: Sekai Bokumetsu no Rokunin,7
World Trigger,9
World Trigger 2nd Season,8
World Trigger 3rd Season,8
Xian Wang de Richang Shenghuo,9
Xian Wang de Richang Shenghuo 2,7
Xian Wang de Richang Shenghuo 3,7
xxxHOLiC,8
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8
Yamada-kun to 7-nin no Majo,7
Yoku Wakaru Gendai Mahou,5
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,9
Young Black Jack,7
Zetsuen no Tempest,8
Zettai Shougeki: Platonic Heart,4
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,7
Zombieland Saga,7
Zombieland Saga Revenge,8
